relative_path,artifact_type,source_files,description
dp_fedsgd/per_client_epsilon.npy,data,,Experiment artifact
dp_fedsgd/per_client_update_norms.npy,data,,Experiment artifact
dp_fedsgd/per_client_update_norms.png,chart,per_client_update_norms.npy,Chart source mapping
dp_fedsgd/per_client_zkip_status.npy,data,,Experiment artifact
dp_fedsgd/tcm_state_count.png,chart,metrics.csv;tcm_manifest.csv,Chart source mapping
dp_fedsgd/zkip_failures.png,chart,metrics.csv,Chart source mapping
global_dp/agg_client_counts.png,chart,metrics.csv,Chart source mapping
global_dp/artifact_manifest.csv,data,,Experiment artifact
global_dp/delta_norm.png,chart,metrics.json,Chart source mapping
global_dp/dp_noise_scale.png,chart,metrics.csv,Chart source mapping
global_dp/ebcd_alerts.png,chart,metrics.csv,Chart source mapping
global_dp/global_metrics.png,chart,metrics.csv;metrics.json,Chart source mapping
global_dp/metrics.csv,data,,Experiment artifact
global_dp/metrics.json,data,,Experiment artifact
global_dp/per_client_ebcd_stats.npy,data,,Experiment artifact
global_dp/per_client_epsilon.npy,data,,Experiment artifact
global_dp/per_client_update_norms.npy,data,,Experiment artifact
global_dp/per_client_update_norms.png,chart,per_client_update_norms.npy,Chart source mapping
global_dp/per_client_zkip_status.npy,data,,Experiment artifact
global_dp/tcm_state_count.png,chart,metrics.csv;tcm_manifest.csv,Chart source mapping
global_dp/zkip_failures.png,chart,metrics.csv,Chart source mapping
dp_rtfl/agg_client_counts.png,chart,metrics.csv,Chart source mapping
dp_rtfl/artifact_manifest.csv,data,,Experiment artifact
dp_rtfl/delta_norm.png,chart,metrics.json,Chart source mapping
dp_rtfl/dp_noise_scale.png,chart,metrics.csv,Chart source mapping
dp_rtfl/ebcd_alerts.png,chart,metrics.csv,Chart source mapping
dp_rtfl/global_metrics.png,chart,metrics.csv;metrics.json,Chart source mapping
dp_rtfl/metrics.csv,data,,Experiment artifact
dp_rtfl/metrics.json,data,,Experiment artifact
dp_rtfl/per_client_ebcd_stats.npy,data,,Experiment artifact
dp_rtfl/per_client_epsilon.npy,data,,Experiment artifact
dp_rtfl/per_client_update_norms.npy,data,,Experiment artifact
dp_rtfl/per_client_update_norms.png,chart,per_client_update_norms.npy,Chart source mapping
dp_rtfl/per_client_zkip_status.npy,data,,Experiment artifact
dp_rtfl/tcm_manifest.csv,data,,Experiment artifact
dp_rtfl/tcm_state_count.png,chart,metrics.csv;tcm_manifest.csv,Chart source mapping
dp_rtfl/zkip_failures.png,chart,metrics.csv,Chart source mapping
dp_rtfl/checkpoints/model_02055c976de6f83b.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_08cfea464f24061c.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_09bf6d09fe66b662.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_186554b3220a0e8d.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_2084be2fd31b49d3.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_25d373734855ceae.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_26a1881bf6ee3093.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_2dc660cf26fd002d.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_2ec467f7299709c9.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_302a15def8d507c8.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_3c55ff13340e0039.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_443f512032e52fbb.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_493742687bf66723.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_4d6b4c9fb67ba9d2.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_4f3588d8226b4eb1.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_53191a8968f080be.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_59ee4f5538ccedd8.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_5b8a5f768848b268.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_5d6422b01176abda.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_62b8c9ba0e5f6a5f.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_6924cac75cfb7b91.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_6d21155ce7826c15.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_6e8577b5284d5b30.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_7e1266bb0d51749f.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_7e3e2e4f2491f0d8.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_7f7369b5d1e5cf72.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_805ba6e4f22ae264.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_80b3016847fa89f5.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_814b6f62ea0bbfb1.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_835676515a61e771.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_8ca3a5bd0aaa377c.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_9745c01e06d09647.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_9855d734e8233e0c.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_98a277fb3e969174.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_99f26dfd87250383.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_a809cb795d6a4730.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_acd90414e8add03a.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_aea5753e75831595.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_b3f07c2d6d7058b2.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_bf708e1d2c963b44.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_c1ec3ca410642404.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_c3a523e6327bb3c6.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_c4e79fab25b17fc3.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_c50b64bf35530425.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_c83070937cae8393.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_ccc2218513107158.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_d6c7f6d7ce0e9f75.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_e5e5f9d041bee89b.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_f1595ee7033aed23.npz,data,,Experiment artifact
dp_rtfl/checkpoints/model_f5bc1e249fa45e3e.npz,data,,Experiment artifact
apdp_rtfl/agg_client_counts.png,chart,metrics.csv,Chart source mapping
apdp_rtfl/artifact_manifest.csv,data,,Experiment artifact
apdp_rtfl/delta_norm.png,chart,metrics.json,Chart source mapping
apdp_rtfl/dp_noise_scale.png,chart,metrics.csv,Chart source mapping
apdp_rtfl/ebcd_alerts.png,chart,metrics.csv,Chart source mapping
apdp_rtfl/global_metrics.png,chart,metrics.csv;metrics.json,Chart source mapping
apdp_rtfl/metrics.csv,data,,Experiment artifact
apdp_rtfl/metrics.json,data,,Experiment artifact
apdp_rtfl/per_client_ebcd_stats.npy,data,,Experiment artifact
apdp_rtfl/per_client_epsilon.npy,data,,Experiment artifact
apdp_rtfl/per_client_update_norms.npy,data,,Experiment artifact
apdp_rtfl/per_client_update_norms.png,chart,per_client_update_norms.npy,Chart source mapping
apdp_rtfl/per_client_zkip_status.npy,data,,Experiment artifact
apdp_rtfl/tcm_manifest.csv,data,,Experiment artifact
apdp_rtfl/tcm_state_count.png,chart,metrics.csv;tcm_manifest.csv,Chart source mapping
apdp_rtfl/zkip_failures.png,chart,metrics.csv,Chart source mapping
apdp_rtfl/checkpoints/model_02f369a4c763184c.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_09c24767478fb1dc.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_0e12317c75081b43.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_0f7ca9f703dd1861.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_13cc4482feb4613a.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_175c324db69b0376.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_192020bcf87a4a26.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_1a1575e724685f24.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_273e527a9a243fab.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_282823d645157175.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_399ffccab0df0db3.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_407db8b7de07e797.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_423254c63cc36393.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_4f62918ce1158333.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_54d760c4cbadd096.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_572baf82b8cb18a8.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_5b63369039ad6e5e.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_5cb89bfbd1a8a3fa.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_66a14540bc6a5541.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_709a8fd659308a08.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_7272ab5b4f663a2b.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_76400714f24e1691.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_7fd1a9cf4d964f92.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_82b6493d02344167.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_855454e64dad5cfc.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_866400245e437ef6.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_89f0d57267e0b4ef.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_9081cfd09d31c112.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_96a42d54da9c07a2.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_9e9ac07ef2081019.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_a35f099744c28684.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_a7364d5174e3c371.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_aa21841e3e436be2.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_aa63a540734bd82f.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_aba0fc9f61bb9a75.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_acf2b8cf9ce166c4.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_ad20ffd064f7822b.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_b2c3da9dff5196ad.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_b31b57fc06c0abfd.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_b64150895fb0fb2e.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_b883687589462a52.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_bb67dd22453a6f13.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_c07d0812ba71ca0c.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_c2742de1e3fe62f4.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_c9bf46d395800753.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_d3ea3b0961191f5e.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_d90e6628bdd2586f.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_dcdd6157aa8f05bb.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_e9f8e79f71d78515.npz,data,,Experiment artifact
apdp_rtfl/checkpoints/model_ef39208b30d7c69e.npz,data,,Experiment artifact
